Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"2019: After the Fall of New York","88 Films",UK,,5060103799237,April 10 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"3 Women","Arrow",UK,,5027035012889,July 13 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"30 Days of Night","Icon Productions",AU,,9339065000986,April 9 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"48 Hrs.","Paramount Pictures",AU,,9324915042919,July 29 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"52 Pick-Up","Arrow",UK,,5027035015415,October 17 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"8mm","Shock",AU,,5021456214662,November 1 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Abominable Dr. Phibes","Shock",AU,,9345228002247,April 30 2014,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Absolution","Powerhouse Films",UK,,5037899071762,September 24 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Absurd","88 Films",UK,,5060103798858,February 13 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Across 110th Street","Imprint",AU,,9337369029894,April 27 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Adventures of Prince Achmed","BFI Video",UK,,5035673011652,August 19 2013,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Aenigma","88 Films",UK,,5060103797608,March 27 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Alain Robbe-Grillet: Six Films 1964-1974","BFI Video",UK,,5035673011881,June 30 2014,0,DigiPack,0,3,0,0,,0,,,,
"Ali: Fear Eats the Soul","Arrow",UK,,5027035013916,March 28 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Alien 2: On Earth","88 Films",UK,,5060103796991,June 27 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Alien 4K","20th Century Fox",AU,,9321337186955,April 24 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Alien Dead","Retromedia",US,802993305106,0802993300507,December 2 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Alien Nation","Umbrella Entertainment",AU,,9344256013539,April 6 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Alligator 4K","Shout Factory",US,826663219272,0826663219272,February 22 2022,1,Standard Blu-ray case,0,3,0,0,,0,,,,
"Amazon Women on the Moon","Shock",AU,,5021456213504,July 5 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Amazonia: The Catherine Miles Story","88 Films",UK,,5060496451590,August 20 2018,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"American Graffiti","Universal Studios",AU,,5050582846195,July 27 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"American Horror Project Vol. 1","Arrow",US,760137818595,0760137818595,February 23 2016,0,Standard Blu-ray case,1,3,3,0,,0,,,,
"American Horror Project Vol. 2","Arrow",UK,,5027035020624,June 24 2019,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"American Ninja 1-4","88 Films",UK,,5037899048290,April 27 2015,-1,Standard Blu-ray case,-1,4,0,0,,0,,,,
"An American Werewolf in London","Arrow",UK,,5027035021126,October 28 2019,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"An American Werewolf in London 4K","Arrow",UK,,5027035024189,March 14 2022,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Amityville Horror Collection","Via Vision Entertainment",AU,,9337369008790,September 28 2016,1,Standard Blu-ray case,0,3,1,0,April 25 2018,0,,,,
"Amuck!","88 Films",UK,,5060103797660,February 27 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Angel Heart 4K","Universal Sony Pictures Home Entertainment",AU,,9317731155611,November 13 2019,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Animal House","Universal Studios",AU,,5050582846270,July 27 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Anthropophagous","88 Films",UK,,5060103799183,August 7 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Apartment","Arrow",UK,,5027035020136,November 26 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Apocalypse Now","Universal Studios",AU,,5050582850635,November 2 2011,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Appointment","BFI Video",UK,,5035673014516,July 11 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Army of Darkness","Universal Studios",US,025192019968,0025192019968,September 15 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Arthur / Arthur 2: On the Rocks","Warner Bros.",AU,,9325336162033,August 1 2012,-1,Standard Blu-ray case,0,-1,0,0,,0,,,,
"Assault","Network",UK,,5027626818944,August 27 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Assault on Paradise","Code Red",US,,,July 22 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Assault on Precinct 13","Umbrella Entertainment",AU,,9344256012235,August 5 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
